Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
Taylor1860_13(16),journal-article,"Alex S. Taylor,","""California Notes. The Indianology of California. [Continued.] Miscellaneous,""",California Notes. The Indianology of California. [Continued.] Miscellaneous,<i>California Farmer and Journal of Useful Sciences</i>,"13,",no. 16,8,June,1860,1860-06-08,122,John F. Morse,,,,"San Francisco, California",Public domain,,,,,,,
TheDawn1881,journal-article,"[Fred Spalding Witter],","""A Female Robinson Crusoe,""",Female Robinson Crusoe,<i>The Dawn: A Journal for Australian Women</i>,8,no. 3,1,July,1895,1895-07-01,14-15,,,,,"Sydney, New South Wales, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheFriend1847,journal-article,,"""A Female Crusoe,""",Female Crusoe,<i>Friend</i>,"20,",no. 33,8,May,1847,1847-05-08,257-58,,,,,"Philadelphia, Pennsylvania",Public domain,,,,,,,
Thomson1953,journal-article,"Virginia Thomson, ","""Note on George Nidever: A 'Clean-Living and Upright"" Trapper,"" ",Note on George Nidever A Clean-Living and Upright Trapper,<i>California Historical Society Quarterly</i>,"32,",no. 3,,September,1953,1953-09-01,263-68,,,,,"San Francisco, California","Y
Public Domain (according to U of CA Press)",,,,,,,
Wolfe1928,journal-article,"Gordon Wolfe,","""The Lost Woman of San Nicolas,""",Lost Woman of San Nicolas,<i>Touring Topics</i>,"20,",no. 7,,July,1928,1928-07-01,"31, 48, 50",,,,,"Los Angeles, California",Y,,fee waived for educational use,Reprinted with permission of the Automobile Club of Southern California.,,,,Y--depiction of the LW
Gibbons1893,journal-article,"James M. Gibbons,","""The Wild Woman of San Nicolas Island,""",Wild Woman of San Nicolas Island,<i>Californian Illustrated Magazine</i>,"4,",no. 5,,October,1893,1893-10-01,660-67,,,,,"San Francisco, California",Public domain,,,,,,,"Y--drawing of SNI natives, drawing of a coin, drawing of LW"
HutchingsCaliforniaMagazine1857,journal-article,,"""The Indian Woman of San Nicholas,""",Indian Woman of San Nicholas,<i>Hutchings' California Magazine</i>,"1,",no. 8,,February,1857,1857-02-01,347-48,,,,,"San Francisco, California",Public domain,,,,,,,Y--image (illustration) of SNI basket
Sauers2013_Currents,journal-article,"Patricia Sauers,","""Point Mugu’s Lead Archaeologist Makes a Significant Find: Cave May Be the Lone Woman's Cave of San Nicolas Island,""",Point Mugu’s Lead Archaeologist Makes a Significant Find Cave May Be the Lone Womans Cave of San Nicolas Island,<i>Currents</i>,"3, ",no. 3,,Fall,2013,2013-09-01,18-21,,,,,"Silverdale, Washington",Y,,granted by Bruce McCaffrey in email to Sara 12/30/2013,Courtesy of Currents.,,,,"Y--image 1879 survey map SNI, map of CA coast, image of SNI, images of SNI cave, image of bottle found SNI"
SchwartzVellanoweth2013,journal-article,"Steven J. Schwartz and Rene L. Vellanoweth,","""Lone Woman's Cave Found on San Nicolas Island,""",Lone Womans Cave Found on San Nicolas Island,<i>California Archaeology</i>,"5,",no. 2,,December,2013,2013-12-01,391-93,,,,,"Chico, California",Y,,full citation; Permission courtesy of Maney Publishing. Provide URL for journal: www.maneyonlin.com/cal,Permission courtesy of Maney Publishing. www.maneyonlin.com/cal,,,,Y--image of archaeological cave excavation 
SchwartzMartz1992,journal-article,"Steven J. Schwartz and Patricia Martz,","""An Overview of the Archaeology of San Nicolas Island, Southern California,"" ","Overview of the Archaeology of San Nicolas Island, Southern California ",<i>Pacific Coast Archaeological Society Quarterly</i>,"28, ",no. 4,,Fall,1992,1992-09-01,46-73 ,,,,,"Costa Mesa, California",Permission obtained,,http://www.pcas.org/about.html; email sent to editor of quarterly on 1/24.  Permission granted 1/25.  Permission statement should read: Reprinted with the permission of the Pacific Coast Archaeological Society. ,Reprinted with the permission of the Pacific Coast Archaeological Society.,,"not certain, approximated arbitrarily for placement with other reviews",,"Y--image of CA Coast (pointing out SNI), map of SNI archaeological sites"
Lovelace1961,journal-article,"Maud Hart Lovelace,","""Scott O'Dell: A Biographical Note,""",Scott ODell A Biographical Note,<i>Horn Book Magazine</i>,"67,",no. 2,,,1961,1961-01-01,316-19,,,,,"Boston, Massachusetts",Y,$500 (all Horn Book combined),"Reprinted by permission of The Horn Book, Inc., www.hbook.com","Reprinted by permission of The Horn Book, Inc., www.hbook.com.",,,,Y--image of O'Dells
Harrigan1998,journal-article,"John P. Harrigan, ","""The Lone Woman of San Nicolas Island,""",Lone Woman of San Nicolas Island,<i>California Territorial Quarterly</i>,"33,",no. 33,,,1998,1998-01-01,40-52,,,,,"Paradise, California",Y,$0,permission granted by author (rights reverted back to author from journal) and the journal,Reprinted by permsission from John P. Harrigan and California Territorial Quarterly.,,,,"Y--image of SBChannel, image of Gabrielino basketry, image of LW plaque at SBMission, drawing of SNI wildlife, Chumash elder 1877"
