Document Key,A case could be make for obtaining as of 2017-11-10,Author Name,Article Title,"Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Month,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,Cost,Notes
Miller1959,,"Miller, Max. ","""Chapter 14,"" in ","... And Bring All Your Folks: Being a Lighthearted Examination of the Southern California Islands and Some off Mexico--In Case We Get Crowded Off the Mainland! ",,,,1/1/1959,119-132. ,"Doubleday & Company, Inc., ",1959,,,"Garden City, NY"
MorrisFarrisSchwartzWenderDralyuk2014,,"Morris, Susan L. , Glenn J. Farris, Steven J. Schwartz, Irina Vladi L. Wender, and Boris Dralyuk. ","""Murder, Massacre, and Mayhemon the California Coast, 1814 –1815: Newly Translated Russian American Company Documents Reveal Company Concern Over Violent Clashes.""",Journal of California and Great Basin Anthropology,"34, ",no. 1,(2014):,1/1/2014,81-100. ,,,,,
Munro2002,,"Munro, Pamela. ","""Takic Foundations of Nicoleno Vocabulary. ",Proceedings of the Fifth California Islands Symposium : 29 March to 1 April 1999,12,,(2002): ,1/1/2002,659-68. ,,,,,
Murphy1971_ADB,yes,"Murphy, William S. ","""Early Indian Life on Isle Indicated."" ",Anderson Daily Bulletin ,"86, ",no. 247 ,(4 Jan 1971): ,1/4/1971,24,,,,,
Murphy1971_MJ,yes,"Murphy, William S. ","""California Island Reveals Ancient Indian Civilization.""","Milwaukee Journal (Milwaukee, Wisconsin)",89th year,,"(13 Jan 1971, Green Sheet Section):",1/13/1971,1 & 3.,,,,,
TheTroyRecord1953,Y,,"""California Island Yields Indian Lore,"" ",<i>Troy (NY) Record</i>,"ser. 1,953, ",no. 240,7 October 1953,1953-10-07,,,,,,
Nichols1970,,"Nicholas, Roberta. ","""At The Library: Survival Stories Remain Favorites."" ",Independent ,"33, ",no. 41 ,(26 Feb 1970): ,2/26/1970,P-16 or Z-1. ,,,,,
Nidever1976,,"Nidever, George.","""George Nidever; The Life and Adventures of a Pioneer of
California Since 1834."" ",Original Accounts of the Lone Woman of San Nicolas Island,,,,1/1/1/1/1976,7-15,Ballena Press,1976,,,"Ballena Press

reprinted from HeizerElsasser1961"
Ogden1941,,"Ogden, Adele. ","""Footnote 70,"" in ""Chapter VI: Otter Hunting Under the Mexican Regime,"" in ",The California Sea Otter Trade 1784-1848,,,,1/1/1941,209,"University of California Press, ",1941,,,"Berkeley, CA and Los Angeles, CA"
Ollman1998,,"Ollman, Leah. ","""A Multi-Sided Look at 'Lone Woman'."" ",Los Angeles Times,,,(2 Oct 1998): ,10/2/1998,F29-F30. ,,,,,
Oulahan1964,,"Oulahan, Richard. ","""Life Movie Review: News! A Film Fit for Kids."" ",Life ,"56, ",no. 25 ,(19 Jun 1964): ,6/19/1964,16-17. ,,,,,
Parker1963,,"Parker, Frances. ","""Jasper Public Library Notes."" ",Dubois County Daily Herald ,"66, ",no. 177 ,(5 May 1961): ,5/5/1961,10,,,,,
Parsons1963,,"Parsons, Louella O. ","""Hollywood: Victor Borge Will Enter Movie Production Field."" ",Anderson Daily-Bulletin ,"79,",no. 174 ,(18 Sep 1963): ,9/18/1963,25,,,,,
Paulding1954,yes,"Paulding, Litti. ","""'The Lost Woman of San Nicolas.' Bereft Mother Lived 18 Years in Bleak Exile."" ",Santa Barbara News Press ,"99th year, ",no. 338 ,(25 Apr 1924): ,4/25/1954,F-9. ,,,,,
RadnitzToDittman_24Sept1963,,"Radnitz, Robert B.",,"Personal communication,",,,(24 Sept 1963).,,,,,personal archives of Richard Dittman,,
RadnitzToDittman_27Sept1963,,"Radnitz, Robert B.",,"Personal communication,",,,(27 Sept 1963).,,,,,personal archives of Richard Dittman,,
Raymond1984,,"Raymond, Allen. ","""A Visit with Scoot O'Dell, Master Storyteller."" ",Early Years ,"14, ",no. 7 ,(Mar 1984): ,3/1/1984,26-29. ,,,,,
Remenih1964,,"Remenih, Maurine M. ","""Island of the Blue Dolphins."" ",Jack and Jill ,,,(Jun 1964): ,6/1/1964,20-24. ,,,,,
Renninger1974,,"Renninger, Jerry. ","""Robert Radnitz Makes Films for People."" ",Palm Beach Post ,,,(17 Apr 1974): ,4/17/1974,B1 & B8. ,,,,,
Rochman2007,,"Rochman, Hazel. ","""Another Look At: Scott O'Dell's Island of the Blue Dolphins."" ",Booklist ,,,(15 Apr 2007): ,4/15/2007,54,,,,,
Rockwood1971,,"Rockwood, Agnes. ","""Just Pokin' Around."" ",Bennington Banner ,,,(7 May 1971): ,5/7/1971,3,,,,,
Romer1958,yes,"Romer, Margaret. ","""Lost Woman of San Nicolas Island."" ",Independent-Press-Telegram (Southland Magazine) ,"7, ",no. 8 ,(12 Oct 1958): ,10/12/1958,10,,,,,
Rosenthal1961,,"Rosenthal, Jules M. ","""Words And Worlds: Adventure Island."" ",Wisconsin State Journal ,,,"(9 Oct 1961, Sect 5): ",10/9/1961,3,,,,,
Sackett1960,,"Sackett, S. J.","""Island of the Blue Dolphins. By Scott O'Dell,"" in ""Reviews of Books.""  ",Western Folklore ,"19, ",no. 3 ,(Jul 1960): ,7/1/1960,221-2. ,,,,,
Saunders1964,yes,"Saunders, Rubie. ","""Celia Kaye & 'Island of the Blue Dolphins.'"" ",Calling All Girls ,,,(Sep 1964): ,9/1/1964,44-51. ,,,,,
Schubart1961,,"Schubart, Mrs. W. R. ","""Adams County Public Library."" ",Gettysburg Times ,"59, ",148,(22 Jun 1961): ,6/22/1961,8,,,,,
Smith1964,,"Smith, Fran. ","""A Producer Tells Us What's In a Movie."" ",Boys' Life ,,,(Jul 1964): ,7/1/1964,14,,,,,
Smith1961,,"Smith, Lee C. ","""Public Library Notes."" ",Evening Sun ,"97, ",14,(30 Mar 1961): ,3/30/1961,4,,,,,
Sparks1961,,"Sparks, Hale.",The Forgotten Woman.,University Explorer series broadcast script U.E. 1755. Columbia Broadcasting System script number 4025. ,,,1961,,,Permissions under investigation,,,,
Strauch1999,,"Strauch, Barbara. ","""Camping On An Isle of Menacing Mice: In Channel Islands National Park, nature's wonders include huge flowers, tiny foxes and, for one camper, the sight of skiing rodents."" ",New York Times ,"149, ","no. 51,664 ",(3 Oct 1999): ,10/3/1999,TR8. ,,,,,http://www.nytimes.com/1999/10/03/travel/camping-on-an-isle-of-menacing-mice.html
Sullivan1964,,"Sullivan, Leo. ","""Sub-Watusi Set: Blue Dolphin Film is Hit for Children."" ",Washington Post ,"87th year, ",no. 261 ,"(22 Aug 1964, Section C: City Life Section): ",8/22/1964,C7. ,,,,,
Takas1961,,"Takas, Charlotte A. ","""Library News."" ",Daily Reporter ,"58, ",no. 81 ,(14 Oct 1961): ,10/14/1961,23,,,,,
Timbrook2002,,"Timbrook, Jan. ","""Search for the Source of the Sorcerers' Stones."" ",Proceedings of the Fifth California Islands Symposium : 29 March to 1 April 1999,12,,(2002): ,1/1/2002,633-40.,,,,,
Toor1964,,"Toor, Dave.","""'Blue Dolphins' Pleasantly Entertaining.""",Eugene Register-Guard,"97th year, ",no. 289 ,(7 Aug 1964): ,8/7/1964,7A. ,,,,,
VanFleet1960,,"Van Fleet, Virginia. ","""Ideal Book for Youngsters Re-Creates Knights of Old."" ",Fort Worth Star-Telegram ,"80th year, ",no. 84 ,"(24 Apr 1960, Women's World Section): ",4/24/1960,18,,,,,"Fort Worth, Texas "
Vonbloeker1965,,"Von Bloeker Jr., Jack C.","""Land Mammals of the Southern California Islands,""",,,,,,,,,,,"[First Channel Islands Symposium]

CHECK ILL REQUEST FOR MONOGRAPH SOURCE

CONSIDER SHORTENING TO SECTION OF PAPER"
Wade1971,,"Wade, Gordon S. ","""Gift Books for Children."" ",Carroll Dailiy Times Herald ,"102, ",no. 271 ,"(17 Nov 1971, Section D): ",11/17/1971,D6. ,,,,,
Weiss1994,,"Weiss, Kenneth R. ","""Recording the Stone."" ",Los Angeles Times,,,(30 Dec 1994): ,12/30/1994,"A3, A29.",,,,,
,,"Wesselhoeft, Conrad. ","""'Blue Dolphins' Author Tells Why He Writes for Children."" ",New York Times ,,,(15 Apr 1984): ,4/15/1984,,,,,,http://www.nytimes.com/1984/04/15/nyregion/blue-dolphins-author-tells-why-he-writes-for-children.html?pagewanted=all&pagewanted=print
Wesselhoeft1984,,"Wesselhoeft, COnrad. ","""'Blue Dolphins' Author Tells Why He Writes for CHildren.""",New York Times,"133, ","46,015","(15 Apr 1984, Section 22: Westchester Weekly): ",4/15/1984,WC 27,,,,,
Wood1961,,"Wood, Jean.","""Notable Children's Books.""",Newsday,"21,",171,(25 March 1961):,3/25/1961,25,,,,,
Zbur2001,,"Zbur, Kacie. ","""Kacie Zbur. Honorable Mention. Marion Center Grade 7."" ",Indiana Gazette (Newspaper In Education Magazine) ,"91, ",no. 216 ,(14 Dec 2001): ,12/14/2001,46,,,,,
TheDailyRepublican1953,yes,,"""California Island Yields Indian Lore."" ",Daily Republican ,"107, ",no. 115 ,(29 Oct 1953): ,10/29/1953,7,,,,,
TheKaneRepublican1953,yes,,"""California Island Yields Indian Lore."" ",Kane Republican ,"60, ",no. 15 ,(1 Oct 1953): ,10/1/1953,13,,,,,
PanamaCityNews1953,yes,,"""California Island Yields Indian Lore."" ",Panama City News ,"1, ",no. 284 ,(25 Sep 1953): ,9/25/1953,11,,,,,
SanMateoTimes1953,yes,,"""California Island Yields Indian Lore."" ",San Mateo Times ,"53, ",no. 235 ,(1 Oct 1953): ,10/1/1953,19,,,,$95,"not yet paid (fee for both SM Times docs)

Jessica Stremmel email to Sara (USC account) on Oct 7, 2014 titled ""RE: permission request/nonprofit website San Mateo Times"""
MilwaukeeSentinel1945,yes,,"""Smarter Than Robinson Crusoe: Her Name Was Juana Maria and She Lived Alone on a Pacfic Island for 20 Years."" ","Milwaukee Sentinel (Milwaukee, Wisconsin)","8,",no. 41,"(24 Jun 1945, The American Weekly Insert):",6/24/1945,2,,,,,
TheBendBulletin1937,yes,,"""Nidever, Fearless Adventurer, Finds Yosemite!"" ","Bulletin (Bend, Oregon)","39, ",no. 106 ,"(9 Apr 1937, Five Star Weekly Section): ",4/9/1937,2,,,,,
CortlandStandard1926,yes,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters."" ",Cortland Standard ,,,(10 Dec 1926): ,12/10/1926,10,,,,,REPRINT STATUS (HARDACRE?!?!)
BuffaloEveningNews1926,yes,,"""San Nicolas Island Bane of Yachstmen. Kelp Beds, Great Seas Make the Landing Difficult--Used for Grazing."" ",Buffalo Evening News ,"91, ",no. 132 ,(17 Mar 1926): ,3/17/1926,33,,,,,
NewYorkTimes1927,yes,,"""Relics of Vanished Race Found On a Desert Isle. Los Angeles Museum Brings Back Bones and Implements from San Nicolas."" ",New York Times ,"76, ","no. 25, 299 ","(1 May 1927, Section 9: Special Features): ",5/1/1927,4,,,,,REPRINT STATUS
BoxOffice1964,yes,,"""The Exhibitor Has His Say About Pictures.""",Box Office,"86, ",3,"(9 Nov 1964, Mideast Edition):",11/9/1964,180,,,,,
TheAbileneReporterNews1964_Jun14,,,"""Children's Films Coming: Sneak Poittier Preview, Topical Picture Set."" ",Abilene Reporter-News ,"83rd year, ",no. 363 ,(14 Jun 1964): ,6/14/1964,11B. ,,,,,
TheAbileneReporterNews1964_May31,,,"""Theater Goers Can Expect Top Acts--Yogi, Abe, Bond."" ",Abilene Reporter-News ,"83rd year, ",no. 349 ,(31 May 1964): ,5/31/1964,12C. ,,,,,
TheAbileneReporterNews1969,,,"""Weekend TV Movies: Friday."" ",Abilene Reporter-News (Big Country TV Report) ,"89th year, ",no. 185 ,"(21 Dec 1969, Section E): ",12/21/1969,8E. ,,,,,
AmarilloGlobeTimes1964,,,"""Island Adventure To Open Thursday."" ",Amarillo Globe-Times ,"41st year, ",no. 85 ,(17 Jun 1964): ,6/17/1964,25,,,,,
AndersonDailyBulletin1974,,,"""TV movie guide: Friday."" ",Anderson Daily Bulletin (The Weekly TeleVisit Magazine) ,"90, ",no. 127 ,(17 Aug 1974): ,8/17/1974,5,,,,,
TheAndersonHerald1974,,,"""TV movie guide: Friday."" ",Anderson Herald (The Weekly TeleVisit Magazine) ,"107, ",no. 57 ,(17 Aug 1974): ,8/17/1974,5,,,,,
TheAnnistonStar1964_Jun26,,,"""Child's Novel Slated for Ritz."" ",Anniston Star ,"82, ",no. 233 ,(26 Jun 1964): ,6/26/1964,14,,,,,
TheAnnistonStar1964_Jun28,,,"""'Island Of Blue Dolphins' Shows On Screen Of Ritz."" ",Anniston Star ,"82, ",no. 235 ,(28 Jun 1964): ,6/28/1964,11A. ,,,,,
TheAnnistonStar1965,,,"""Double Hit At Bama."" ",Anniston Star ,"83, ",no. 151 ,(14 Feb 1965): ,2/14/1965,8B. ,,,,,
TheAnnistonStar1976,,,"""Movies on TV this week: Saturday."" ",Anniston Star (Tuning In Magazine),"97, ",no. 115 ,(24 Apr 1976): ,4/24/1976,TV4. ,,,,,
ArcadiaTribune1964,,,"""Family Film Fare."" ",Arcadia Tribune ,"38, ",no. 52 ,(16 Jul 1964): ,7/16/1964,24,,,,,
ArcadiaTribune1967,,,"""Family Film Fare."" ",Arcadia Tribune ,"41, ",no. 84 ,(19 Oct 1967): ,10/19/1967,19 (Arcadia Edition). ,,,,,
TheArgus1972,,,"""Guide to weekly movies: Tuesday."" ",Argus (TV Preview Magazine) ,"11, ",no. 329 ,(19 Mar 1972): ,3/19/1972,5TV. ,,,,,
TheArgus1973,,,"""Guide to weekly movies: Sunday."" ",Argus (TV Preview Magazine) ,"13, ",no. 86 ,(22 Jul 1973): ,7/22/1973,4TV. ,,,,,
TheArgus1974,,,"""Guide to weekly movies: Sunday."" ",Argus (TV Preview Magazine) ,"14, ",no. 13 ,(12 May 1974): ,5/12/1974,,,,,,
TheArgus1976,,,"""Movie Highlights: Saturday."" ",Argus (TV Preview Magazine) ,"14, ",no. 149 ,(25 Sep 1976): ,9/25/1976,4,,,,,
TheArizonaRepublic1970,,,"""Island off California providing key to Indians of 5,000 years ago."" ",Arizona Republic ,"81st year, ",no. 224 ,(26 Dec 1970): ,12/26/1970,16,,,,,
ArlingtonHeightsHerald1961,,,"""2 Award-Winning Books at Library."" ",Arlington Heights Herald ,"34th year, ",no. 31 ,(16 Mar 1961): ,3/16/1961,8,,,,,
TheBaytownSun1970,,,"""Television Schedule."" ",Baytown Sun ,,,(15 May 1970): ,5/15/1970,7,,,,,
BenningtonBanner1975,,,"""Sunday, September 28, 1975."" ",Bennington Banner (TV Week Magazine) ,,,(27 Sep 1975): ,9/27/1975,3,,,,,
TheBrazosportFacts1977,,,"""The Television Picture."" ",Brazosport Facts ,"44th year, ",no. 206 ,(18 Oct 1977): ,10/18/1977,10,,,,,
TheBridgeportPost1973,,,"""On Television Today."" ",Bridgeport Post ,"90, ",no. 34 ,(9 Feb 1973): ,2/9/1973,36,,,,,
TheBridgeportPost1975,,,"""Today's Television."" ",Bridgeport Post ,"92, ",no. 233 ,(4 Oct 1975): ,10/4/1975,17,,,,,
TheBridgeportTelegram1975,,,"""Today's Television."" ",Bridgeport Telegram ,"84, ",no. 237 ,(4 Oct 1975): ,10/4/1975,23,,,,,
,,,,,,,,,,,,,,
TheChilliwackProgress1966_Jul13,,,"""At The Drive-In."" ",Chilliwack Progress ,"76th year, ",no. 12 ,(13 Jul 1966): ,7/13/1966,2-3. ,,,,,
TheChilliwackProgress1966_Jul20,,,"""At The Drive-In."" ",Chilliwack Progress ,"76th year, ",no. 13 ,(20 Jul 1966): ,7/20/1966,2,,,,,
TheChilliwackProgress1971,,,"""Tuesday: August 17."" ",Chilliwack Progress ,"81st year, ",no. 18 ,"(11 Aug 1971, Section B): ",8/11/1971,6B. ,,,,,
TheCirclevilleHerald1971,,,"""Snkke-A-Peek."" ",Circleville Herald ,"88th year, ",no. 289 ,(9 Dec 1971): ,12/9/1971,18,,,,,
ColoradoSpringsGazetteTelegraph1964_Aug15,,,"""Lue Dolphins Producer Likes Kids."" ",Colorado Springs Gazette-Telegraph ,"93rd year, ","no. 29, 773 ",(15 Aug 1964): ,8/15/1964,3,,,,,
ColoradoSpringsGazetteTelegraph1964_Oct17,,,"""Top Film Now Showing At Cooper."" ",Colorado Springs Gazette-Telegraph ,"93rd year, ","no. 29, 836 ",(17 Oct 1964): ,10/17/1964,5,,,,,
TheCorpusChristiCallerTimes1964_Jun14,,,"""This Week's Movies."" ",Corpus Christi Caller-Times ,"35, ",no. 33 ,(14 Jun 1964): ,6/14/1964,2E. ,,,,,
TheCorpusChristiCallerTimes1964_Jun21,,,"""This Week's Movies."" ",Corpus Christi Caller-Times ,"35, ",no. 34 ,(21 Jun 1964): ,6/21/1964,9B. ,,,,,
TheCorpusChristiCallerTimes1964_Jun28,,,"""This Week's Movies."" ",Corpus Christi Caller-Times ,"35, ",no. 35 ,(28 Jun 1964): ,6/28/1964,2G. ,,,,,
CorsicanaDailySun1972,,,"""Movie Profiles."" ",Corsicana Daily Sun (Tel-Aire Magazine) ,"77, ",no. 127 ,(31 Dec 1972): ,12/31/1972,11,,,,,
CorsicanaDailySun1973,,,"""Movie Profiles."" ",Corsicana Daily Sun (Tel-Aire Magazine) ,"77, ",no. 273 ,(24 Jun 1973): ,6/24/1973,14,,,,,
DailyAmerican1977_Apr11,,,,Daily American (Shopper Supplement) ,"48, ",no. 338 ,(11 Apr 1977): ,4/11/1977,15,,,,,
DailyAmerican1977_Apr16,,,"""Television: Saturday."" ",Daily American (Shopper Supplement) ,,,(16 Apr 1977): ,4/16/1977,3,,,,,
DailyCapitalNews1971,,,"""Thursday."" ",Daily Capital News ,"60, ",no. 101 ,"(24 Jul 1971, TV Section): ",7/24/1971,5,,,,,
DailyCapitalNews1973,,,"""Daytime Weekly Television Schedule."" ",Daily Capital News ,"52, ",no. _____ ,"(7 Jul 1973, TV Section): ",7/7/1973,6,,,,,
TheDailyCourier1977,,,"""Sunday: Afternoon."" ",Daily Courier ,"75, ",no. _____ ,(16 Apr 1977): ,4/16/1977,13,,,,,
DailyIndependentJournal1961,,,"""Sausalitan Wins Award For Book."" ",Daily Independent-Journal ,"101, ",no. 97 ,(13 Jul 1961): ,7/13/1961,23,,,,,
DailyIndependentJournal1964,,,"""Summertime Is Move Time In Marin."" ",Daily Independent-Journal ,"104, ",no. 115 ,(3 Aug 1964): ,8/3/1964,12,,,,,
TheDailyLeader1973,,,"""Friday: Daytime Movies."" ",Daily Leader ,"93rd year, ",no. 167 ,"(30 Mar 1973, Section Two): ",3/30/1973,,,,,,
TheDailyLeader1974_Dec27,,,"""Tuesday: Daytime Movies."" ",Daily Leader ,"95th year, ",no. 87 ,"(27 Dec 1974, Section Three): ",12/27/1974,,,,,,
TheDailyLeader1974_Mar22,,,"""Thursday: Daytime Movies."" ",Daily Leader ,"94th year, ",no. 159 ,"(22 Mar 1974, Section Two): ",3/22/1974,,,,,,
TheDailyLeader1975,,,"""Tuesday: Daytime Movies."" ",Daily Leader ,"95th year, ",no. 212 ,"(23 May 1975, Section Two): ",5/23/1975,,,,,,
TheDailyLeader1977,,,"""Saturday: Afternoon."" ",Daily Leader ,"97th year, ",no. 222 ,"(3 Jun 1977, Section Two): ",6/3/1977,,,,,,
TheDailyMail1976,,,"""Sunday."" ",Daily Mail (TV Day Magazine) ,"148th year, ",no. 280 ,(27 Nov 1976): ,11/27/1976,13,,,,,
TheDailyNews1961,,,"""News from the Huntingdon County Library: Through These Doors."" ",Daily News ,"40, ",no. 168 ,(15 Aug 1961): ,8/15/1961,10,,,,,
TheDailyPantagraph1970,,,"""Friday Night TV."" ",Daily Pantagraph ,"125th year, ",164th day ,(13 Jun 1970): ,6/13/1970,,,,,,
TheDailyPantagraph1978,,,"""Autographed books at Normal."" ",Daily Pantagraph ,"133rd year, ",176th day ,(25 Jun 1978): ,6/25/1978,B18. ,,,,,
TheDailyRepublic1961,,,"""Carnegie Library Adds New Books For 'Small Fry.'"" ",Daily Republic ,"79, ",no. 28 ,(18 Nov 1961): ,11/18/1961,6,,,,,
TheDailySentinel1989,,,"""Death: Scott O'Dell."" ",Daily Sentinel ,"51, ",no. 216 ,(20 Oct 1989): ,10/20/1989,2,,,,,
TheDailyTimesNews1976,,,"""Tuesday Previews."" ",Daily Times-News (Showtime Magazine) ,"88th year, ",no. 345 ,(3 Jul 1976): ,7/3/1976,7,,,,,
TheDeltaDemocratTimes1964,,,,Delta Democrat-Times ,"75th year, ",no. 307 ,(27 Aug 1964): ,8/27/1964,16,,,,,
DentonRecordChronicle1971,,,"""Movie Profiles."" ",Denton Record-Chronicle ,"69th year, ",no. 125 ,(26 Dec 1971): ,12/26/1971,13,,,,,
TheDesMoinesRegister1969_Dec23,,,"""Tuesday Television Program Listings."" ",Des Moines Register ,,,(23 Dec 1969): ,12/23/1969,7,,,,,
TheDesMoinesRegister1969_Dec21,,,"""Tuesday evening."" ",Des Moines Register (Iowa Magazine) ,,,(21 Dec 1969): ,12/21/1969,7TV. ,,,,,
