Case to be made for acquiring if new searches are conducted after 2017-11-11,Author Name,Title or description,"Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Date,Pages.,"Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Place of Publication

for maps on website

also for browse by publication location feature",Status of Search (including InterLibrary Loan Transaction Number),Status As Of (Date of last edit/addendum/action),Referenced in,Tags of docs already acquired--need cleaner copy,RManuszak notes 4/29/2105-9/26/2015,Notes
yes-likely reprint,,,Wrexham Advertiser (Wales) ,,,prior to 7/27/1881,,,,,,"TN 1224569--8/6/2015 [""No library is able to supply this item.""]",8/6/2015,"Rawlins1881_Jul27
Rawlins1881_Nov17",,"ILL req based on OCLC 895935097

If unsuccessful, try OCLCs 751409082, 53992683, 751701815, 751706912, 751756586",
yes-reprint,,"""The Isle Of Skulls. A Woman's Lonely Life--Surrounded by the Bones of Her Tribe."" ",Upper Des Moines ,"27, ",no. 5 ,(27 Apr 1892): ,10,,,,,"TN 1215407--11/30/2015 [""No library is able to supply this item.
""]",11/30/2015,,TheUpperDesMoines1892,,
yes-reprint,,,Chicago Chronicle,,,,,,,,,"TN 1267820--6/7/2016 [""No library is able to supply this item.""]",6/7/2016,TheDailyNews1907,,"prior to 1907-04-27

possibly OCLC 23261394, but R doesn't think so; widen if unsuccessful

difficult time finding a library with holdings, so unspecified ILL request for mirofilm Jan-Apr 1907",
yes-reprint,,,Chicago Record ,,,prior to 1/7/1901,,,,,,"TN 1224537--1/22/2016 Carina [Looking for an original of a reprint from The Democrat and Chronicle, 1901. Searching in The Chicago Record, TN 1224537. First day and first run through, due to the type of headline and length of the article, I focused on looking at the larger headlines in the paper. Came across damaged portion of the reel and returned the next day to repair it and finish first reel of microfilm; article was not found. I looked through the reels again to make sure I hadn't missed it, this time also scanning smaller headlines in case there was an alteration when copied over. Article was not found; no documents created. Reel marked as damaged and returned to Circulation to be sent back through ILL.]

TN 1224538--8/6/2015 [""No library is able to supply this item.""]

TN 1224539--8/5/2015 [""Unable to verify your request as cited. The title you submitted began in March of 1901 and was the merging of two papers, the Chicago Record and The Chicago Times-Herald. Please verify which title you need so we can request the years needed.""] [""Unable to verify your request as cited.""]

TN 1242428--2/4/2016 Carina [Article not found; the article needed to have been printed prior to January 7th, 1901, but January 5th and 6th were missing from reel. No documents created. (The article I was looking for last time was the only one that appeared for this TN number on the spreadsheet; is there anything else this reel was needed for? I'm still in the library working on some things in case I misread the document somehow, so I haven't turned in the reel quite yet. Let me know if there's anything else this reel is needed for; it feels weird to return it after only 20 minutes.)]",11/23/2015,DemocratAndChronicle1901,,,
yes-reprint likely,,,Daily Evening Herald,,,prior to 11/3/1853,,,,,,"TN 1216032--5/28/2015 [""No library is able to supply this item.""]

TN 1216033--6/1/2015 [""required we go outside usual ILL requesting methods. It may take a little longer than usal to obtain, if we are able.""] [""No library is able to supply this item.""]",6/29/2015,"referenced in DailyEveningHerald1853 (""We have heretofore made mention of"")",,"http://chroniclingamerica.loc.gov/lccn/sn88084129/
http://www.worldcat.org/search?q=no%3A18399145&qt=advanced&dblist=638

http://chroniclingamerica.loc.gov/lccn/sn90061116/
http://www.worldcat.org/search?q=no%3A20850441&qt=advanced&dblist=638

almost definitely not
http://chroniclingamerica.loc.gov/lccn/sn90061117/
http://www.worldcat.org/search?q=no%3A20850445&qt=advanced&dblist=638",
yes-reprint likely,,,Exchange ,,,prior to 12/30/1894,,,,,,"TN 1224573--8/19/2015 [""No library is able to supply this item.""]

TN 1224574--8/7/2015 [""No library is able to supply this item.""]",8/19/2015,DemocratAndChronicle1894,,,
Yes: we think this is part of a document group!,,"""A Woman Crusoe. _____"" ",Perry Daily Chief ,,,(24 Apr 1906): ,4,,,,,"TN 1215938--7/17/2015 [""No library is able to supply this item.""]","6/29/2015

12/2/2014",,ThePerryDailyChief1906,"http://chroniclingamerica.loc.gov/lccn/sn87057576/
http://www.worldcat.org/search?q=no%3A16689256&qt=advanced&dblist=638","We have a illegible copy of this item from Newspapers.com (we couldn't transcribe it reliably), and we were never able to acquire a copy that could be posted on the website. If this document is ever acquired, it should be evaluated and placed in the appropriate document group."
,"Bernstein, Sid. ","""'Woman 'Robinson Crusoe' Found: San Nicolas Isle Last Survivor's Story Revealed."" ",Los Angeles Examiner,,,(10 Oct 196?):,,,,,,"TN 1217065--7/28/2015 placed other ILL reqs, will wait for outcome of those before spending extensive time looking through tens of pages for this--8/24/2015 [""ILL renewal denied""]

TN 1223627--8/11/2015 [""No library is able to supply this item.""]
TN 1223628--9/30/2015 [""No library is able to supply this item.""]
TN 1223629--8/4/2015 [""No library is able to supply this item.""]
TN 1223630--8/7/2015 [""No library is able to supply this item.""]
TN 1223631--8/14/2015 [""Unable to Locate We are unable to find a library owning this material.""]",9/30/2015,,,"http://chroniclingamerica.loc.gov/lccn/sn83045549/

most likely 1962",
,"Davidson, Garber. ","""Archeologists Bare Channel Islands' Secret; Story of Mother Love Delayed 90 Years."" ",Bee (probably Sacramento),,,(19 Jul 1943): ,8,,,,"Danville, VIrginia.","TN 1216009--6/1/2015 [""No library is able to supply this item.""]

try Newspapers.com again with different account",6/29/2015,,Davidson1943_TB,"(needs further searching--IL institution records indicate they don't have the issue we need, look at records more closely for clues)

thttp://chroniclingamerica.loc.gov/lccn/sn86071569/
http://www.worldcat.org/search?q=no%3A13685401&qt=advanced&dblist=638

try these if ILL req unsuccessful
http://chroniclingamerica.loc.gov/lccn/sn95079227/
http://www.worldcat.org/search?q=no%3A32877083&qt=advanced&dblist=638",
,"Moodie, Roy L. ",,,,,prior to 3/22/1930,,,,,,"TN 1224597 (fulfilled)

TN 1224598--8/5/2015, ILL provided URL [https://archive.org/details/jstor-6697] (checked, no LW reference)

TN 1224599 (fulfilled)

TN 1224600 (fulfilled)

TN 1224601--8/5/2015 [""requires special consideration and may take longer than usual to obtain. It has been placed in our extensive searching queue.""]--8/6/2015 [""We couldn't find lenders for the OCLC number requested with the exact title, but found http://www.worldcat.org/oclc/31843495 which appears to be the same thing with minor spelling differences that may have lenders. Is it okay to send out for this record?""]--8/11/2015 emails w/ ILL--8/14/2015 [""No library is able to supply this item.""]",8/14/2015,"TheDailyStar1930
TheColdSpringRecorder1930",,"most likely not these, but if ILL reqs fail, try OCLC 78903070 & these:
http://www.worldcat.org/title/studies-in-paleopathology-xxviii-the-phenomenon-of-sacralization-in-the-pleistocene-sabre-tooth/oclc/4652688646&referer=brief_results
http://www.worldcat.org/title/studies-in-paleopathology-xxviii-the-phenomenon-of-sacralization-in-the-pleistocene-sabre-tooth/oclc/4922417750&referer=brief_results
http://www.worldcat.org/title/studies-in-paleopathology-xxvhypertrophy-in-the-sacrum-of-the-sabre-tooth-pleistocene-of-southern-california/oclc/4922408647&referer=brief_results

Procesing, othewise try alternate choices","Extensive search already done.  These volumes/numbers were not checked before we ran out of time. Look @ Moodie's articles in The American Journal of Surgery
v8 n4 (193004): 903-904
v8 n4 (193004): 905-908
v8 n6 (193006): 1313-1315
v9 n2 (193008): 348-362
v10 n1 (1930): 162-163"
,"Sheridan, Edwin M. ","""The Lost Woman of San Nicolas."" ",Ventura County Star ,,,(19 Jul 1929): ,,,,,,"TN 1216179--6/2/2015 [""No library is able to supply this item. Non circulating from UC Riverside.""]",6/29/2015,,,"ILL req TN 1216179 failed
http://chroniclingamerica.loc.gov/lccn/sn94051104/
http://www.worldcat.org/search?q=no%3A30338370&qt=advanced&dblist=638

ILL req not possible based on
http://chroniclingamerica.loc.gov/lccn/sn2002060276/
http://www.worldcat.org/search?q=no%3A50512126&qt=advanced&dblist=638

ILL req not possible based on
http://chroniclingamerica.loc.gov/lccn/sn2002060270/
http://www.worldcat.org/search?q=no%3A50512092&qt=advanced&dblist=638

ILL req not possible based on
http://chroniclingamerica.loc.gov/lccn/sn2002060273/
thttp://www.worldcat.org/search?q=no%3A50512105&qt=advanced&dblist=638

ILL req not possible based on
http://chroniclingamerica.loc.gov/lccn/sn2002060272/
http://www.worldcat.org/search?q=no%3A50512099&qt=advanced&dblist=638",
,"Temple, Stephen J. ","""The Forgotten Woman of San Nicolas Island."" ",Western Boatman ,"5, ",no. 4 ,(1987): ,,,,,,"TN 1215944--6/2/2015 [""No library is able to supply this item.""]",6/29/2015,,,http://www.worldcat.org/title/western-boatman/oclc/9673064&referer=brief_results,
,,"""Desolate Island of West Coast Feared By Yachtsmen."" ","Daily Kentucky New Era (Hopkinsville, Kentucky)","38,",no. 23,(11 Dec 1925):,7,,,,,"TN 1224657--8/17/2015 [""No library is able to supply this item.""]

TN 1224658--8/17/2015 [""No library is able to supply this item.""]",8/17/2015,,,,
,,"""Nidever, Fearless Adventurer, Finds Yosemite!"" ","Bulletin (Bend, Oregon)","39, ",no. 106 ,"(9 Apr 1937, Five Star Weekly Section): ",2,,,,,"TN 1224647 (fulfilled)

TN 1224648 (fulfilled)

TN 1225572--9/20/2015 It is simply not here, may be different section--replace ILL req with specifics about needing first and published on page for the Five Star Weekly Section & 11/9/2015 email w/ ILL, 11/10 response [""It looks like the lender that provided the item was the last possible lender that held those years. Earlier lenders denied our requests for a loan, so it may not be available. Does your citation confirm that the supplement is part of these holdings? If so, we could try again, but it is possible that since it is from the same record it will contain the same thing if we're able to get it. Just let us know how you would like to proceed.""]",11/10/2015,,,,
,,"""Responses Came by the Thousands."" ",San Francisco Sunday Examiner ,,,(5 Nov 1967): ,40-2. ,,,,,"TN 1221262--8/11-15/2015 emails w/ ILL, Sara--10/13/2015 [""No library is able to supply this item.""]",10/13/2015,,,,
,,"""Scientists sail for San Nicolas."" ",Santa Barbara News Press,,,(22 Jul 1934): ,,,,,,"TN 1215855--6/29/2015 [""No library is able to supply this item.""]",6/29/2015,,,,
,,"""So Now They Say: 'He Wrote a Book.'"" ",Los Angeles Times Sunday Magazine ,,,(13 May 1934): ,94,,,,,"TN 1221260--7/8/2015 [""No library is able to supply this item.""]",7/8/2015,,,,
,,,Daily News (Santa Barbara) ,,,(13 May 1922): ,,,,,,"TN 1214649--6/1/2015 [""No library is able to supply this item.""]",6/29/2015,,,,
,,,Galveston (Texas) Daily News,,,(13 Dec 1933): ,1-5.,,,,,"TN 1216131--6/1/2015 [""Apologies! I’ve requested a resend.""]--6/26/2015 [""Unable to verify your request as cited.""] & email response, TN 1220044

TN 1220044--7/10/2015 [""No library is able to supply this item.""]",7/29/2015,,,,
May not exist,"Bowers, Stephen. ","""The Lone Woman of San Nicolas Island."" ",Ventura Weekly Observer ,,,(16 Dec 1892): ,238,,,,,"TN 922886--4/21/2011 [""Unable to Locate""]

TN 1120852--1/17/2014 [""No library is able to supply this item.""]

TN 1120853--2/24/2014 [""No library is able to supply this item.""]

NOT at Ventura County Museum Library (Sara looked in June 2016)",6/6/2016,,,"neither of these libraries has this according to their catalog--CA?

http://chroniclingamerica.loc.gov/lccn/sn94052516/
http://www.worldcat.org/search?q=no%3A31506996&qt=advanced&dblist=638

http://chroniclingamerica.loc.gov/lccn/sn95061233/
http://www.worldcat.org/search?q=no%3A34046989&qt=advanced&dblist=638",
May not exist,"Bowers, Stephen. ","""The Lone Woman of San Nicolas Island."" ",Ventura Weekly Observer ,,,(9 Dec 1892): ,228,,,,,"TN 922886--4/21/2011 [""Unable to Locate""]

TN 1120852--1/17/2014 [""No library is able to supply this item.""]

TN 1120853--2/24/2014 [""No library is able to supply this item.""]

NOT at Ventura County Museum Library (Sara looked in June 2016)",6/6/2016,,,"neither of these libraries has this according to their catalog--CA?

http://chroniclingamerica.loc.gov/lccn/sn94052516/
http://www.worldcat.org/search?q=no%3A31506996&qt=advanced&dblist=638

http://chroniclingamerica.loc.gov/lccn/sn95061233/
http://www.worldcat.org/search?q=no%3A34046989&qt=advanced&dblist=638",
,,,The Grizzly Bear,,,,,,,,,,6/29/2015,,,"http://www.worldcat.org/title/grizzly-bear/oclc/5809069&referer=brief_results


According to LoC and Hathi Trust info--held in California, will have to be searched in person

http://searchworks.stanford.edu/view/361862","SD State University Library

San Diego Christian College"
