Database,Website,Last Search Finished (Month and Year),Status,Searched By,Notes,"Mechanism for re-checking after ""Last Search Finished"" date?"
,,,,,,"To perform future searches/add to archive;
1.  Obtain a list of all publications in the archive or which were FOUND during search process (but excluded because of permissions).  To do this: alphabetically sort the ""Obtained | InArchive"" tab (and other relevant ones, like permission denied) of the ""Publications"" spreadsheet; copy the list of publications; use Excel to delete repetitions, to result in a list of all the individual publications included in archive and archive search process. Combine duplicate or merged publications into one search item (e.g. ""Utica Observer"" and ""Utica Daily Observer"")
2. List dates of published articles that were obtained for all publications in archive/archive search process.  Figure out what pubs. of those we have were obtained from print rather than digitized sources.  Check the list of all publications found against individual databases. 
3. Use this list of publications and dates to ascertain whether there are new digitized publications and/or dates in the databases.  If so, run a new search with existing search terms.
"
HarpWeek (protected but USC has access) ,http://app.harpweek.com.pallas2.tcl.sc.edu/,January 2015,complete,Caroline,,"no such functinoality in search feature, inquiry sent to support@harpweek.com, 3Mar2015"
Elephind,,January 2015,complete,Caroline,,
National Library of New Zealand,,,complete,Caroline,,
Pennsylvania Newspaper Project,http://www.libraries.psu.edu/psul/digipres/panp/freehistoricpanewspapers.html,January 2015,in progress (until Juniata College),Caroline,,this is a list of resources--need to check individual databases for this capability
19th Century U.S. Newspapers,,June 2015,complete,Caroline,I got access through Northwestern U's library system,
South Carolina Digital Library,http://scmemory.org/,N/A,complete,N/A,don't need to search--subsumed under Chronicling of America,
California Digital Newspaper Collection,http://cdnc.ucr.edu/cgi-bin/cdnc,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to cbsrinfo@ucr.edu, 3Mar2015"
Library of Congress | Chronicling America,http://chroniclingamerica.loc.gov/,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to via web form, 3Mar2015, http://www.loc.gov/rr/askalib/ask-news.html [Question ID: 10293241]"
Fulton History (NY/American newspapers),http://fultonhistory.com/Fulton.html,6/9/2015,complete,Rachel,,
Accessible Archives,http://library.sc.edu/p/Research/Resources/newspapers,6/9/2015,complete,Rachel,,
Atlanta Constitution (1868-1945),http://library.sc.edu/p/Research/Resources/newspapers,6/9/2015,complete,Rachel,,
Chicago Defender (1910-1975),http://library.sc.edu/p/Research/Resources/newspapers,6/9/2015,complete,Rachel,,
"Early American Newspapers, Series I 1690-1876",http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
"New York Amsterdam News, 1922 - 1993",http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
"News (AP, UPI, etc.) Wire Services",http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
Newspaper Source Plus,http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
Pittsburgh Courier (1911-2002),http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
"Times Digital Archive [London] , 1785-1985",http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
Washington Post (1877-1996),http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
World Newspaper Archive,http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
LexisNexis Academic,http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
New York Times (Historical),http://library.sc.edu/p/Research/Resources/newspapers,6/11/2015,complete,Rachel,,
"Illustrated London News Historical Archive, 1842-2003",http://www.accessible.com.pallas2.tcl.sc.edu/accessible/preLog,6/11/2015,complete,Rachel,,
Calisphere,http://www.calisphere.universityofcalifornia.edu/,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to via web form, 3Mar2015"
California Digital Library,http://www.cdlib.org/,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to cdl@www.cdlib.org, 3Mar2015"
University of California Digital Library | Merrit,http://www.cdlib.org/services/uc3/merritt/,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to cdl@www.cdlib.org, 3Mar2015"
Europeana,http://www.europeana.eu/portal/usingeuropeana_search.html,6/5/2015,complete,Rachel,,
Newspapers.com,http://www.newspapers.com/,October 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to via web form, 3Mar2015"
Online Archive of California,http://www.oac.cdlib.org/,December 2014,complete,Rachel,,"no such functinoality in search feature, inquiry sent to via web form, 3Mar2015"
UNZ.org,http://www.unz.org/Pub/AllPeriodicals,6/9/2015,complete,Rachel,,
