,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
309,Los Angeles Tidings,"The <i>Los Angeles Tidings</i> (1895-current) is a weekly Catholic newspaper out of Los Angeles that soon after its founding expanded its local circulation to serve subscribers nationwide. James Nolan and Elmer Murphy were editors in the early 1900s. The paper now publishes online in addition to its weekly print edition, and goes by the name <i>Angelus</i> (changed from <i>The Tidings</i> in 2016).","""About Us, <i>Angelus</i>, The Tidings, accessed October 23, 2016, http://angelusnews.com/about. Charles Phillips, ""Our Maurice Francis,"" <i>Catholic World</i>, 106 (1917): 227-233, eBook. ""Staff Changes,"" <i>The Fourth Estate</i>, (New York: Ernest P. Birmingham, 1908, accessed October 23, 2016, eBook.","TheTidings1904_Sep16
TheTidings1904_Sep23
TheTidings1904_Sep30",newspaper-article,"[Emma C. Hardacre],","""Eighteen Years Alone. A Tale of the Pacific,""
""Eighteen Years Alone. A Tale of the Pacific. (Continued From Last Week.),""
""Eighteen Years Alone. A Tale of the Pacific. (Concluded.),""","10, 
10, 
10, ","no. 38
no. 39
no. 40","16
23
30","September
September
September","1904
1904
1904
","1904-09-16
1904-09-16
1904-09-30",,"Los Angeles, California",
150,Los Angeles Times,"The <i>Los Angeles Times</i> (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the <i>Daily Times</i>, but dropped the <i>Daily</i> from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The <i>Times</i> has printed various supplements over the course of its lifespan, including the <i>Los Angeles Times Magazine</i>. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the <i>Los Angeles Times</i> in 1944. In the first part of the twenty-first century, the <i>Los Angeles Times</i> has the fourth largest newspaper circulation in the country, after <i>USA Today</i>, the <i>Wall Street Journal</i> and the <i>New York Times</i>.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles</i>, <i>Picture This</i>, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" <i>Discover Los Angeles</i>, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" <i>Los Angeles Times</i>, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" <i>Online Archive of California</i>, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.","TheTimes1887
Kelp1889
LosAngelesTimes1898
LosAngelesTimes1928
LosAngelesTimes1929
LosAngelesTimes1951
Sell1954
Kirsch1960
Brown1961
Loper1961
Rasmussen2001
Robinson2004-Adrift
Robinson2004-Marooned","newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
review-book
review-book
review-book
newspaper-article
newspaper-article","N/A
N/A 
N/A
N/A
N/A
N/A
Sell, Ted.
Kirsch, Robert K.
Brown, Myra Berry.
Loper, Mary Lou.
Rasmussen, Cecilia.
Robinson, Joe.","""Was It a Specter? Strange Experience of Two of Ventura's Young Men,""
""Archaeological. Relics of the Oriental Races of Catalina. INteresting Discoveries Under the Hotel Metropole--Stone Implements, Earrings, Beads,Fishhooks, Mortars, Pestles, Arts of the Aborigines, Etc."" 
""To Explore San Nicolas.""
""Story of Lost Woman Retold.""
""Fish-Hook Has Sad History: Crude Instrument Loaned to Santa Barbara Museum for Years used by Lone Woman Crusoe.""
""Indians Once Lived on Channel Islands.""
""Tiny Skeleton Recalls 1835 Island Saga. Bones Believed Those of Mystery Hermit's Child.""
""Story of a Human Experience.""
""Two Californians Win Top Honors for Children's Books.""
""Nobody Liked it But the Readers.""
""L.A. Then and Now; Woman’s Lonely Saga Left a Mystery."" 
""Marooned,"" and ""Adrift in a Sea of Fiction.""","11, 
8th year, 
17
47
49
70
73
79
80
80
N/A
N/A","no. 30
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A","7
25
18
28
28
9
5
17
19
20
18
15","January
August
September
February
December
July
July
March
March
April
March
June","1887
1889
1898
1928
1929
1951
1954
1960
1961
1961
2001
2004","1887-02-01
Sun Aug 25 1889 08:00:00 GMT+0300 (EAT)
Sun Sep 18 1898 08:00:00 GMT+0300 (EAT)
Tue Feb 28 1928 08:00:00 GMT+0300 (EAT)
Sat Dec 28 1929 08:00:00 GMT+0300 (EAT)
Mon Jul 09 1951 07:00:00 GMT+0300 (EAT)
Mon Jul 05 1954 07:00:00 GMT+0300 (EAT)
Thu Mar 17 1960 08:00:00 GMT+0300 (EAT)
Sun Mar 19 1961 08:00:00 GMT+0300 (EAT)
Thu Apr 20 1961 08:00:00 GMT+0300 (EAT)
Sun Mar 18 2001 08:00:00 GMT+0300 (EAT)
Tue Jun 15 2004 07:00:00 GMT+0300 (EAT)",,"Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California",
151,Los Angeles Times Magazine,"The <i>Los Angeles Times</i> (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the <i>Daily Times</i>, but dropped the <i>Daily</i> from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The <i>Times</i> has printed various supplements over the course of its lifespan, including the <i>Los Angeles Times Magazine</i>. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the <i>Los Angeles Times</i> in 1944. In the first part of the twenty-first century, the <i>Los Angeles Times</i> has the fourth largest newspaper circulation in the country, after <i>USA Today</i>, the <i>Wall Street Journal</i> and the <i>New York Times</i>.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles</i>, <i>Picture This</i>, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" <i>Discover Los Angeles</i>, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" <i>Los Angeles Times</i>, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" <i>Online Archive of California</i>, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.","Mathis1899
MEDudley1901
Drake1931
McGroarty1932
Bennett1936","newspaper-supplement-article
newspaper-supplement-article
newspaper-supplement-article
newspaper-supplement-article
newspaper-supplement-article","Mathis, S. J.
Dudley, M.E.
Drake, Waldo.
McGroarty, John S.
Bennett, William Crosby.","""The Lone Woman of San Nicolas.""
""Twenty Years Alone. The True Story of the Woman of San Nicolas Island.""
""The Little Known Islands That Lie Off Our Coast.""
""The Forgotten Woman of San Nicolas Island.""
""Mrs. Robinson Crusoe: She Lived Isolated, for Eighteen Years on San Nicolas—Off our Southern California Shores. When They Rescued Her She Withered and Died in the Discomfort of our Cramped Civilization.""","18th year
50
50
55",,"8
4
31
23
9","January
August
May
October
August","1899
1901
1931
1932
1936","Sun Jan 08 1899 08:00:00 GMT+0300 (EAT)
Sun Aug 04 1901 08:00:00 GMT+0300 (EAT)
Sun May 31 1931 07:00:00 GMT+0300 (EAT)
Sun Oct 23 1932 08:00:00 GMT+0300 (EAT)
Sun Aug 09 1936 07:00:00 GMT+0300 (EAT)",,"Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California
Los Angeles, California",
152,Lowell (MA) Daily Citizen and News,"The <i>Lowell Daily Citizen and News</i> (1856-94) was a daily newspaper founded by Leonard Brown and George F. Murray, out of Lowell, Massachusetts. It was a consolidation of three different papers: the <i>Daily Morning Paper</i>, the <i>American Citizen</i> and the <i>Daily Citizen</i>. Chauncey Knapp became the editor in 1859, and the paper continued under him through the 1880s. A staunch anti-slavery supporter, he brought the paper to a circulation of 1,000 daily in 1878. Lowell was a prominent industrial center during this time.","""About Lowell daily citizen. (Lowell, Mass.) 1876-1894,"" <i>Chronicling America</i>, accessed 22 March 2016. Charles Cowley, <i>Illustrated History of Lowell</i> (Boston: Lee & Shepard, 1868), accessed 23 March 2016, eBook. D. Hamilton Hurd, ed., <i>History of Middlesex County Massachusetts</i> (Philadelphia: J.W. Lewis & Co., 1890), accessed 23 March 2016, eBook. Frederick William Coburn, <i>History of Lowell and Its People</i> (New York: Lewis Historica Publishing Company, 1920), accessed 23 March 2016, eBook. <i>Pettengill’s Newspaper Directory and Advertiser’s Handbook for 1878</i> (New York: S.M. Pettengill & Co., 1878), accessed 22 March 2016, eBook. Richard P. Howe Jr. and Chaim M. Rosenberg, <i>Legendary Locals of Lowell Massachusetts</i> (Charleston, South Carolina: Legendary Locals, 2013), accessed 23 March 2016, eBook.","LowellDailyCitizenAndNews1857
LowellDailyCitizen1879","newspaper-article
newspaper-article","C. J. W. Russell,
-","""A California Crusoe,""
""A Female Crusoe--A Strange Tale From the Pacific Ocean."" ","6, 
29, ","no. 296
7,098","13
21","April
March","1857
1879","1857-04-13
1879-03-21",,"Lowell, Massachusetts",
153,Madison County (NY) Times,"The <i>Madison County Times</i> (1869-1975) was a weekly Democratic newspaper founded by Arthur White out of Chittenango, New York. In 1883, Luke McHenry took over the paper’s operations. The <i>Madison County Times</i> had a weekly circulation of 800 in 1885, when Chittenango had a population of 1,200 and the county a population of 44,112. The town had both grist and cotton mills.","""About Madison County times. (Chittenango, N.Y.) 1869-1975,"" <i>Chronicling America</i>, accessed June 12, 2016. Edgar L. Murlin, <i>New York Red Book</i> (Albany, NY: J.B. Lyon, 1911), accessed June 12, 2016, eBook. James Hadden Smith, <i>History of Chenango and Madison Counties, New York</i> (Syracuse, NY: D. Mason, 1880), accessed June 12, 2016, eBook. John E. Smith, ed., <i>History of Sullivan, NY</i><i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1885), accessed June 12, 2016, eBook. (n.p.: Boston History Company, 1899), accessed June 12, 2016, eBook.",MadisonCountyTimes1885,newspaper-article,,"""Crusoe in Petticoats. A Woman Who was Eighteen Years on a Desert Island."" ","15, ",48,26,June,1885,1885-06-26,,"Chittenango, New York ",
286,General AdvertiserMaitland (AUS) Mercury and Hunter River General Advertiser,"The <i>Maitland Mercury and Hunter River General Advertiser</i> (1843-present) is a newspaper (originally a weekly) founded by Richard Jones and Thomas William Tucker out of Maitland, New South Wales, Australia. The partnership between Tucker and Jones dissolved soon after the paper’s founding, but Tucker continued to run the <i>Mercury</i> independently. By 1893, the <i>Hunter General Advertiser</i> portion of the name had been dropped. The paper was successful because of its broad coverage spannin local, national, and international news. Maitland, located on the Hunter River in the Hunter Valley region of New South Wales, was a center of mining and industry in the last half of the nineteenth century, and is also known for the Maitland Gaol, which was the longest running gaol in Australia from 1844-1998.","""History,"" <i>Maitland Gaol</i>, accessed September 25, 2016, http://www.maitlandgaol.com.au/history. ""Hunter Valley,"" <i>State Library New South Wales</i>, New South Wales Government, accessed September 25, 2016, http://www.sl.nsw.gov.au/stories/hunter-valley/country-life. ""Maitland,"" <i>Sydney Morning Herald</i>, February 8, 2004, accessed September 25, 2016, http://www.smh.com.au/news/New-South-Wales/Maitland/2005/02/17/1108500197615.html. Oswald Ziegler, <i>Maitland: 1863-1963</i> (Maitland, New South Wales: author, 1963), accessed September 25, 2016, eBook.",TheMaitlandMercury1879,newspaper-article,,"""A Lonely Life,"" ","36, ",no. 4843,22,May,1879,1879-05-22,,"Maitland, New South Wales",
154,Malvern (IA) Leader,"The <i>Malvern Leader</i> (1877-current) is a newspaper that was founded by H. G. Rising out of Malvern, Iowa. In 1880, it combined with the <i>Mills County Republican</i> becoming the <i>Malvern Republican Leader</i> until 1883, when new owners, S. C. Hunter and E. B. Brown reverted back to the titile of the <i>Leader</i>. Malvern, which is in southwestern Iowan,  had a population of 1,003 in 1890 and was mainly agricultural.","""About Malvern,"" <i>Malver, Iowa</i>, accessed June 26, 2016. ""About Malvern Republican leader. (Malvern, Mills County, Iowa) 1880-1883,"" <i>Chronicling America</i>, accessed June 26, 2016. John D. Paddock, <i>A Brief History of Malvern</i> (Malvern, IA: Malvern Leader, 1917), accessed June 26, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",TheMalvernLeader1893,newspaper-article,,"""A Female Crusoe."" ","19, ",3,21,September,1893,1893-09-21,,"Malvern, Iowa",
336,"Maryborouogh (AUS) Chronicle, Wide Bay and Burnett Advertiser","The <i>Maryborough Chronicle, Wide Bay and Burnett Advertiser<i> (1860-current) is a newspaper that was founded by Charles Buzacott out of Maryborough, Queensland, Australia. It was originally a weekly, but switched to a daily in 1882. In the 1890s, Maryborough was known as a trade hub for its sugar cane and timber production.","""About Us,"" <i>Fraser Coast Chronicle</i>, accessed November 5, 2016, http://www.frasercoastchronicle.com.au/aboutus/. ""Maryborough-History and Culture,"" <i>Our Fraser Coast</i>, accessed November 5, 2016, http://www.ourfrasercoast.com.au/history-and-culture2.",MaryboroughChronicle1897,newspaper-article,,"""The Islands of Mystery. Remains of a Giant Race,""",,no. 7608,25,March,1897,1897-03-25,,"Maryborough, Queensland, Australia",
155,Masterkey,"The <i>Masterkey for Indian Lore and History</i> (1956-83) was a quarterly journal published by the Southwest Museum in Los Angeles, California. It printed articles about American Indians.","""The Masterkey for Indian Lore and History,"" <i>Journal Database</i>, accessed November 6, 2016, http://www.journal-data.com/journal/the-masterkey-for-indian-lore-and-history.html.","Hudson1978_52(1)
Hudson1978_52(4)
Hudson1980","journal-article
journal-article
journal-article","Hudson, D. Travis.
Hudson, D. Travis.
Hudson, D. Travis.","""Some J.P. Harrington Notes on the ""Lone Woman"" of San Nicolas.""
""An Additional Harrington Note on the ""Lone Woman"" of San Nicolas.""
""Additional Harrington Notes on the ""Lone Woman.""","52,
52,
54,","1
4
3",,,"1978
1978
1980","Sun Jan 01 1978 08:00:00 GMT+0300 (EAT)
Sun Jan 01 1978 08:00:00 GMT+0300 (EAT)
Tue Jan 01 1980 08:00:00 GMT+0300 (EAT)",,,
231,Wilmington (NC) Semi-Weekly Messenger,"The <i>Messenger</i> (1887-1908) was a newspaper founded by Julius A. Bonitz out of Wilmington, North Carolina; it had weekly, semi-weekly, and daily editions. Thomas Clawson was the editor of the <i>Semi-Weekly Messenger</i> in 1898, and he is responsible for playing an essential role in provoking the race riot that occurred in Wilmington in that year, as he printed pro-lynching and white supremacist articles. Wilmington, in southeast North Carolina, had a population of 20,976 in 1900.","""About The semi-weekly messenger. Volume : (Wilmington, N.C.) 1897-1908,"" <i>Chronicling America</i>, accessed July 11, 2016. James Sprunt, <i>Chronicles of the Cape Fear River</i> (Raleigh, NC: Edwards and Broughton, 1898), accessed July 11, 2016, eBook. Timothy B. Tyson, ""The Ghosts of 1898,"" <i>News Observer</i>, 2006, accessed July 11, 2016, PDF. U.S. Census Bureau, ""1900 Census,"" accessed July 11, 2016, PDF.",Gassaway1905_TSWM,newspaper-article,"Gassaway, Frank. ","""Story of a Woman Crusoe.""","38, ",56,14,July,1905,1905-07-14,,"Wilmington, North Carolina",
285,Rockhampton (AUS) Capricornian,"The <i>Morning Bulletin</i> (1861-current) is a daily newspaper founded by William Hitchcock Buzacott out of Rockhampton, Queensland, Australia. It had a weekly edition, the <i>Capricornian</i>, from 1875-1929, which was run by Charles Hardie Buzacott, William’s brother, who also helped edit the <i>Bulletin</i>. Rockhampton, located on the Fitzroy River, was known for its gold mining and beef industry in the nineteenth century, both of which remain prominent in the region today.","""About Us,"" <i>The Morning Bulletin</i>, Australian Regional Media, accessed September 25, 2016,http://www.themorningbulletin.com.au/aboutus/. Clem Lack, ""Buzacott, Charles Hardie (1835-1918),"" <i>Australian Dictionary of Biography</i>, National Centre of Biography, Australian National University, 1969, accessed September 25, 2016, http://adb.anu.edu.au/biography/buzacott-charles-hardie-3133. Fred Johns, ""Buzacott, Charles Hardie,"" <i>Johns’s Notable Australians and Who’s Who in Australia</i> (Adelaide, Australia: author, 1908), accessed September 25, 016, eBook. Lorna McDonald, ""An Overview of Rockhampton’s History,"" <i>CQUniversity Australia</i>, 2003, accessed September 25, 2016, PDF. Lorna McDonald, <i>Rockhampton: History of City and District</i> (St. Lucia, Queensland: Univeristy of Queensland Press, 1981), accessed September 25, 2016, eBook. ""Rockhampton-Enjoy a Real Break in Rockhampton,"" <i>Coastline</i>, Tourism Queensland, accessed Septmeber 25, 2016, http://www.coastlinenews.com.au/index.php?option=com_content&view=article&id=23&Itemid=29.",TheCapricornian1879,newspaper-article,,"""A Female Crusoe,"" ","5, ",no. 21,24,May,1879,1879-05-24,,"Rockhampton, Queensland",
287,Rockhampton (AUS) Morning Bulletin,"The <i>Morning Bulletin</i> (1861-current) is a daily newspaper founded by William Hitchcock Buzacott out of Rockhampton, Queensland, Australia. It had a weekly edition, the <i>Capricornian</i>, from 1875-1929, which was run by Charles Hardie Buzacott, William’s brother, who also helped edit the <i>Bulletin</i>. Rockhampton, located on the Fitzroy River, was known for its gold mining and beef industry in the nineteenth century, both of which remain prominent in the region today.","""About Us,"" <i>The Morning Bulletin</i>, Australian Regional Media, accessed September 25, 2016,http://www.themorningbulletin.com.au/aboutus/. Clem Lack, ""Buzacott, Charles Hardie (1835-1918),"" <i>Australian Dictionary of Biography</i>, National Centre of Biography, Australian National University, 1969, accessed September 25, 2016, http://adb.anu.edu.au/biography/buzacott-charles-hardie-3133. Fred Johns, ""Buzacott, Charles Hardie,"" <i>Johns’s Notable Australians and Who’s Who in Australia</i> (Adelaide, Australia: author, 1908), accessed September 25, 016, eBook. Lorna McDonald, ""An Overview of Rockhampton’s History,"" <i>CQUniversity Australia</i>, 2003, accessed September 25, 2016, PDF. Lorna McDonald, <i>Rockhampton: History of City and District</i> (St. Lucia, Queensland: Univeristy of Queensland Press, 1981), accessed September 25, 2016, eBook. ""Rockhampton-Enjoy a Real Break in Rockhampton,"" <i>Coastline</i>, Tourism Queensland, accessed Septmeber 25, 2016, http://www.coastlinenews.com.au/index.php?option=com_content&view=article&id=23&Itemid=29.","TheMorningBulletin1879
TheMorningBulletin1897",newspaper-article,,"""A Female Crusoe,""
""The Islands of Mystery. Remains of a Giant Race,""","23,
60,","no 3459
10199","19
16","May
February","1879
1897","1879-05-19
1897-02-16",,"Rockhampton, Queensland",
158,Santa Barbara (CA) Morning Press,"The <i>Morning Press</i> (1863-1937) was a daily Republican newspaper founded by Reverend J. A. Johnson out of Santa Barbara, California; it was originally called the <i>Post</i>, but Johnson changed the name to the <i>Press</i> in 1869. John T. Johnston and George Knepper took over the paper in 1892. The <i>Morning Press</i> had a circulation of 1,080 in 1893. Santa Barbara was suffering from the financial Panic of 1893 and anxiously waiting for the railroad to connect them to San Francisco, which would eventually increas tourism and lead to population growth. This did not happen until 1901.","""About The morning press,"" <i>Chronicling America</i>, accessed June 22, 2016. ""In 1952, the Founding Date Moved from 1863 to 1855,"" <i>Snug Spouts</i>, August 1, 2006, accessed June 22, 2016. John Reginald Southworth, <i>Santa Barbara and Montecito: Past and Present</i> (Santa Barbara, CA: Oreña Studios, 1920), accessed June 22, 2016, eBook. <i>Robert R. Remington and Edward P. Remington, <i>Remington Brothers’ Newspaper Manual</i> (Pittsburgh: Percy F. Smith, 1893), accessed June 22, 2016, eBook.",TheMorningPress1892,newspaper-article,,"""The Lost Woman. The S. F. 'Examiner' Gives a Version of Her Rescue."" ","30, ",80,1,March,1892,1892-03-01,,"Santa Barbara, California",
